kp_chi,ki_chi,kp_phi,kd_phi,ki_phi,t_rise,t_set,overshoot
-1.871382156,1.0665355229,10,-0.362005792,9.9714159344,1.22278195013981,100,293.737250614528
-5.172928259,10,6.0820773348,10,-4.751318271,4.46680361976999,100,280.345916414966
10,-4.315871719,10,-4.621207293,4.0954630203,6.40520848721005,100,4761.7337242144
-10,8.5717560376,-10,10,-0.499953271,4.44888111889579,100,302.262928586049
5.2413681582,-0.651313878,9.612717199,-3.742529399,10,6.85914572852976,100,73895.7641318676
-10,2.4967820334,1.8517893259,4.6030958884,-0.054782053,15.9294882356585,100,31088.56094891
4.2082779534,4.9411132653,9.8463148606,-1.450166538,4.4836916503,3.62369035463275,100,110.021483618927
-2.177110332,8.0372206553,-4.245802941,-2.777533433,-10,3.98311825479677,100,95603.9392364448
9.8609731881,-5.055792141,-1.514567122,-6.55007728,6.4448932556,3.76209150469896,100,85107.2444763289
3.7755919996,9.9058889809,-10,5.2168038769,10,4.97191059115883,100,35004.3413816618
6.3929834794,-8.9740634,3.7132409054,10,-2.650123763,4.03326510251984,100,22719.3983149808
-10,9.1728915,10,-4.963492798,2.7986040663,5.07442762422401,100,24219.1027349105
3.8788055823,8.76674605,-0.362636812,5.3901719699,10,4.08301492408274,10.4804700115438,69.6575024401742
10,-0.491128861,6.5846159317,10,-6.360727201,5.03820082706968,100,94599.9448378863
-10,9.9915866695,10,-6.217321908,-6.159887957,4.47961952393747,100,283.919819005925
8.871451244,9.407551874,-2.563044906,-1.165355126,-10,4.47982741919477,100,275.443907930358
7.775175167,0.7166490833,-1.325370228,0.1445831402,-7.69615369,4.47982741919477,100,275.443907930358
-10,0.311673625,-10,-5.214040268,9.6234839727,4.02682551571435,100,98246.3212966637
7.231609739,-0.880855499,-7.552726058,10,-4.926892049,3.79844708669102,100,78878.1351873322
-0.30951339,-10,9.4930409709,-8.135225922,10,6.25305680234009,100,353.075694539102
-10,9.2809971337,-9.659309396,10,10,4.07651292704059,100,31288.6998775896
10,-7.531635488,10,9.5142087906,-5.397299848,4.09817591409019,100,42435.9889820649
-10,5.5272109865,9.9848739928,-10,10,6.52553727935598,100,14699.4099149105
7.6600142758,10,-5.265811131,10,8.5829427856,4.93963353201865,100,47862.5762490567
10,-3.737053253,4.0242720534,10,3.2633085644,5.44478688327705,100,199.225420882479
-10,4.8155239302,8.7370574752,4.5018796024,-3.153644387,5.45795788972753,100,295.772272737078
9.2520477284,10,-2.381835409,-10,1.0870395725,4.47982741919477,100,48797.5976002436
10,-0.380370816,-10,2.7266766929,3.4927471163,5.3430827344292,100,14976.0375290823
9.435614493,-4.836969516,0.2285827281,8.9615649854,10,6.1992602384654,100,318.917685646634
-4.366437448,6.2552123607,2.2077758524,10,8.6088110205,4.95832643785559,100,35406.0520256798
3.4616875363,3.5064145448,10,10,7.2818231299,4.16651967679416,100,6775.54014223087
-2.734602299,10,10,10,4.3744011934,4.91924256727125,100,15031.8987410914
5.6474516756,10,9.8944422727,7.1619756625,10,4.00588530467503,9.02050712154811,46.2819868971115
