kp_chi,ki_chi,kp_phi,kd_phi,ki_phi,t_rise,t_set,overshoot
0.1548309662,1.7303460692,2.7641528306,0.6429285857,1.3532706541,1.36797766387759,100,12203.1268516589
2.0986197239,0.9173834767,2.8187637528,0.600120024,1.2152430486,1.3300823838726,100,13676.8578238697
0.1584316863,0.0148029606,1.1708341668,0.6649329866,2.873974795,7.38453481408561,100,78.0943936218971
2.9225845169,0.1356271254,1.9359871974,1.6915383077,0.824564913,2.3268265685211,100,683.762222314016
2.6795359072,0.8933786757,2.524104821,0.4520904181,2.3782756551,1.19461010857208,23.6162815706828,52.6281446913307
1.1402280456,1.8835767153,2.476095219,1.0862172434,0.0852170434,1.48996792604931,100,462.678209418817
0.8119623925,0.2020404081,2.9849969994,1.9447889578,1.4276855371,1.98868484636433,100,1297.88178030793
1.6263252651,0.6089217844,1.7097419484,0.4392878576,0.2688537708,2.00498746802924,100,13857.3189541868
1.700740148,1.4698939788,2.6795359072,0.4332866573,1.6341268254,1.19350874457394,100,9833.01172703905
0.324064813,0.549709942,1.8033606721,0.8381676335,2.7455491098,1.32486189107601,100,8184.50701477826
1.7205441088,0.149229846,0.8341668334,0.5537107421,2.5853170634,2.37551778417743,21.2818606000211,29.3102277405778
0.9649929986,1.0478095619,2.0764152831,1.7735547109,0.3234646929,1.6835700128327,100,2071.81180316211
0.0126025205,1.0778155631,2.8577715543,0.7865573115,2.3092618524,1.26399164463366,100,13934.4447782063
1.9143828766,1.8267653531,1.3652730546,1.0410082016,1.9653930786,1.45070620446957,100,35983.2476509172
2.6189237848,1.4342868574,1.3724744949,1.8715743149,2.6423284657,1.41528122629873,100,1845.1908397339
0.5719143829,1.5811162232,2.7839567914,1.5339067814,0.1518303661,1.56506529621762,100,1816.62575807355
0.5083016603,0.800160032,2.2948589718,0.5153030606,2.3374674935,1.27229894204114,100,1284.11317172178
0.6187237447,1.8455691138,0.3870774155,1.9439887978,0.4734946989,1.37315637204587,100,15430.1625784738
1.1954390878,0.150030006,2.1424284857,0.5797159432,1.2344468894,2.21176641542815,100,78.4999952551632
2.625525105,0.6541308262,1.1936387277,0.4084816963,2.8433686737,1.3183424346849,9.87056125955749,41.0432373082048
0.3558711742,0.6965393079,1.3556711342,0.9621924385,1.1420284057,1.36268121824563,100,7439.41662197072
1.3652730546,0.5133026605,1.3520704141,0.2292458492,0.2514502901,2.01781830534463,100,1639.65585696392
0.6955391078,1.2922584517,0.0048009602,0.1964392879,2.0452090418,1.12516529094862,100,69.4527002334043
0.6109221844,0.9409881976,0.2814562913,1.475895179,0.5137027405,1.61825551888037,100,2219.7576315603
1.526105221,0.7477495499,1.0946189238,1.4206841368,2.1100220044,1.28256728215952,100,1810.58323667664
1.6587317463,0.8405681136,1.1396279256,1.4914982997,2.7389477896,1.26641640873871,100,1817.82713194259
1.4918983797,1.951190238,0.5803160632,0.4820964193,0.3984796959,1.40552692949463,100,685.188907460691
2.8643728746,0.0124024805,2.5727145429,1.4170834167,0.0600120024,7.75415342587761,100,97.2352646639124
1.4726945389,0.4732946589,1.8051610322,1.324664933,1.9719943989,1.37476320513268,100,1703.74813351742
2.1076215243,1.5671134227,2.3872774555,0.5981196239,2.6531306261,1.37195218363376,100,11935.8778918305
1.4126825365,0.9641928386,0.4428885777,0.6657331466,2.0794158832,1.33427196164597,100,76.2150155350238
0.1350270054,1.4766953391,2.399879976,1.1546309262,2.8847769554,5.74256106574492,100,21656.3820663983
0.7627525505,1.0814162833,1.8801760352,0.8881776355,2.5181036207,1.25617851759303,100,16753.2207033898
1.0130026005,1.0774154831,0.9433886777,1.9823964793,0.974594919,1.34207684158755,100,820.554250873415
2.4016803361,0.7273454691,0.9175835167,1.0086017203,0.7153430686,1.46271089283282,100,810.771062237503
2.9147829566,0.6313262653,2.6039207842,1.9051810362,0.3294658932,1.84630082361745,100,3706.1260484015
