kp_chi,ki_chi,kp_phi,kd_phi,ki_phi,t_rise,t_set,overshoot
2.9819639279,0.4909819639,2.1402805611,0.9529058116,0.5290581162,1.67457974072687,100,8223.55863439778
0.7274549098,0.2565130261,0.50501002,1.4338677355,0.3066132265,2.63351296435666,100,2216.31950657734
1.503006012,0.7434869739,0.8056112224,1.4068136273,0.1663326653,2.23939510962195,100,1796.04827232197
0.0601202405,0.378757515,2.879759519,0.2074148297,0.2605210421,1.85355887075866,100,3624.6362382445
1.8396793587,0.4108216433,1.0400801603,1.1422845691,0.8216432866,1.79466698346695,100,1992.31262801255
2.8496993988,0.753507014,2.0561122244,0.8897795591,0.4328657315,1.52354888834155,100,1879.84826543702
1.3887775551,0.1543086172,2.8256513026,1.2715430862,0.7795591182,2.38614228329568,100,5773.01980397257
2.3206412826,0.1623246493,0.7995991984,1.127254509,0.6332665331,2.46904865627361,100,628.438265973151
2.2965931864,0.8877755511,2.5851703407,0.5591182365,0.9879759519,1.3626473821744,100,19644.4128756515
1.5270541082,0.376753507,2.0741482966,1.0190380762,0.1422845691,2.67176448624266,100,1974.18666066699
0.6012024048,0.3607214429,1.1543086172,0.7064128257,0.8376753507,1.83275268161163,100,1303.58241178202
1.9839679359,0.8917835671,1.1362725451,1.1603206413,0.1863727455,2.02025913971015,100,11451.9277625896
2.873747495,0.1743486974,2.2184368737,0.0360721443,0.1763527054,1.73928605865011,13.8587769495892,37.1159460098696
2.0981963928,0.2745490982,0.6913827655,0.1743486974,0.0901803607,2.63761736282627,100,73.2464412796944
0.6613226453,0.5911823647,0,1.1633266533,0.1322645291,2.65982652722997,100,2725.20462986043
1.1422845691,0.9438877756,1.6713426854,0.628256513,0.2805611222,1.60257241191667,100,3832.20893239353
1.2865731463,0.9358717435,1.0641282565,0.5080160321,0.0581162325,2.15384127693397,100,559.893743711503
2.0741482966,0.6893787575,1.4128256513,1.0310621242,0.9539078156,1.38901686512135,100,3457.02827861502
0.2705410822,0.4428857715,1.3226452906,1.0220440882,0.5070140281,1.96712114660585,100,4142.25450123261
0.4088176353,0.5090180361,0.4809619238,0.3997995992,0.1002004008,2.64435282494565,100,2179.15759877455
2.5130260521,0.9859719439,2.9579158317,1.3496993988,0.8316633267,1.31558859967979,100,2921.41649012357
0.8537074148,0.619238477,1.9719438878,0.6823647295,0.5430861723,1.59395695851091,100,842.842678255065
2.6092184369,0.0120240481,2.0921843687,0.4148296593,0.3486973948,3.27346291283259,100,23.487845570717
0.2945891784,0.3967935872,0.997995992,0.9859719439,0.9919839679,1.74943767957546,100,1727.01085752266
1.7735470942,0.623246493,1.7855711423,1.373747495,0.254509018,2.08523816801211,100,2335.23078202095
0.3547094188,0.9799599198,1.6052104208,1.0671342685,0.4569138277,1.46709036781634,100,2143.76827251456
0.997995992,0.6012024048,0.7034068136,0.880761523,0.2184368737,2.20226234079212,100,1652.7622808677
2.128256513,0.3547094188,0.2885771543,0.6312625251,0.7615230461,1.84373249867339,100,80.1115171693193
0.1863727455,0.1382765531,0.1382765531,0.9108216433,0.2424849699,3.72665718117695,100,1584.20195324103
0.0240480962,0.8336673347,1.8036072144,1.4038076152,0.7915831663,1.42221580718767,100,2913.22565487757
2.0561122244,0.7094188377,1.2805611222,0.9288577154,0.6613226453,1.48240901985566,100,4403.11094484202
0.1563126253,0.5631262525,1.6953907816,1.3647294589,0.5831663327,1.73318687113762,100,2755.63613650333
1.5330661323,0.6633266533,0.9198396794,0.8627254509,0.0220440882,3.15097440198284,100,358.535687056989
1.7074148297,0.7234468938,1.869739479,0.7695390782,0.9739478958,1.51733703499824,49.6518480378414,4259.46833761094
0.3126252505,0.1583166333,1.7134268537,1.1753507014,0.3146292585,3.01630538234811,100,2547.07625530489
0.1382765531,0.0320641283,0.8597194389,0.4328657315,0.8897795591,5.72368450242475,100,97.6374240753704
0.1743486974,0.0741482966,0.5110220441,0.3066132265,0.0340681363,6.56321835320743,100,174.494018711561
0.8597194389,0.5771543086,2.0140280561,0.2404809619,0.5531062124,1.66698173923578,100,2131.0198727908
1.2745490982,0.0340681363,2.4348697395,1.0761523046,0.0661322645,6.66039386391139,100,132.428845474938
1.7374749499,0.8617234469,0.9078156313,1.3196392786,0.6973947896,1.45885411881702,100,781.275606620452
2.3146292585,0.8436873747,2.0861723447,0.9649298597,0.9759519038,1.33433146508038,100,23835.5856562074
1.1543086172,0.8136272545,0.1803607214,0.4028056112,0.8957915832,1.5050733611098,100,691.523247276045
0.0721442886,0.8036072144,2.6753507014,0.8266533066,0.6593186373,1.36948593562313,100,1743.05462600504
2.0921843687,0.0661322645,0.0480961924,1.0641282565,0.7975951904,2.74307984789935,33.7136550623648,64.3647038494998
1.124248497,0.2284569138,1.1903807615,0.5801603206,0.619238477,2.31053487492586,100,1158.01456798015
1.1362725451,0.2104208417,0.5651302605,0.99498998,0.2404809619,2.96534394897683,100,1451.31107699785
1.9238476954,0.0761523046,2.8496993988,0.7965931864,0.0641282565,4.55409917559877,100,128.298515570509
1.6412825651,0.3587174349,0.0300601202,1.1903807615,0.6513026052,2.05364435680479,100,1104.67423770897
1.7194388778,0.3927855711,2.1703406814,0.7034068136,0.8336673347,1.87325135143664,100,1720.06631830743
0.3186372745,0.496993988,0.1503006012,0.126252505,0.3266533066,1.96206167236713,100,169.441401502436
1.8336673347,0.6673346693,2.6152304609,0.7094188377,0.3947895792,1.77858736474965,100,4724.30766625244
0.5651302605,0.3386773547,0.1082164329,1.1482965932,0.7174348697,2.07867956094094,100,1216.93214818595
2.7715430862,0.8496993988,2.3627254509,0.9919839679,0.0240480962,2.29418998186408,100,83.6416298371513
0.4749498998,0.4008016032,1.6172344689,1.1963927856,0.7855711423,1.80553628231762,100,3852.51849202094
2.4468937876,0.2585170341,1.1843687375,0.874749499,0.8296593186,1.93808181365975,100,718.693308044773
