phi_gains_1,phi_gains_2,phi_gains_3,chi_gains_1,chi_gains_2,theta_gains_1,theta_gains_2,theta_gains_3,h_gains_1,h_gains_2,h_gains_3,V_gains_1,V_gains_2,chi_out_1,chi_out_2,chi_out_3,h_out_1,h_out_2,h_out_3,p_out,q_out
0.9285714286,0.1775510204,0.2693877551,0.9183673469,0.0836734694,-1.62244898,-0.448979592,0.2959183673,0.0167346939,-0.153061224,0.0032040816,0.2693877551,0.5224489796,33.422740522,100,18653.994548,100,100,0,100,100
0.9693877551,0.3,0.2857142857,0.8367346939,0.0040816327,-2.489795918,-0.42244898,0.2448979592,0.0134693878,-0.275510204,0.0039387755,0.2510204082,0.5142857143,33.904423323,100,3377.8450103,100,100,0,100,100
0.7142857143,0.1959183673,0.2530612245,0.6897959184,0.0816326531,-2.897959184,-0.406122449,0.4285714286,0.0148979592,0.4387755102,0.0036530612,0.2816326531,0.4367346939,36.223663589,100,11782.711977,100,100,0,100,100
0.7448979592,0.0244897959,0.2448979592,0.2326530612,0,-1.469387755,-0.414285714,0.3163265306,0.0116326531,-0.5,0.0045102041,0.2265306122,0.493877551,100,100,0,100,100,0,100,100
0.7346938776,0.2510204082,0.3591836735,0.3632653061,0.0510204082,-1.265306122,-0.410204082,0.4489795918,0.0104081633,-0.112244898,0.0038571429,0.2836734694,0.5591836735,100,100,0,100,100,0,100,100
0.8265306122,0.1102040816,0.2775510204,0.3959183673,0.0387755102,-0.5,-0.471428571,0.4693877551,0.0179591837,-0.193877551,0.004877551,0.2102040816,0.587755102,100,100,0,100,100,0,100,100
0.5510204082,0.0673469388,0.2040816327,0.3795918367,0.0775510204,-0.755102041,-0.473469388,0.3571428571,0.0102040816,-0.214285714,0.0030408163,0.2428571429,0.4244897959,100,100,0,100,100,0,100,49.937801479
0.806122449,0.2265306122,0.3428571429,0.8204081633,0.0591836735,-0.653061224,-0.455102041,0.2551020408,0.0155102041,0.4591836735,0.0040612245,0.2285714286,0.5918367347,100,100,0,100,100,0,100,100
0.6734693878,0.1224489796,0.3836734694,0.2979591837,0.0163265306,-1.367346939,-0.434693878,0.2142857143,0.0197959184,-0.132653061,0.0035306122,0.2387755102,0.4612244898,100,100,0,100,100,0,100,100
0.5918367347,0.1714285714,0.2367346939,0.5918367347,0.0224489796,-2.591836735,-0.5,0.4081632653,0.0195918367,-0.357142857,0.003,0.2306122449,0.5102040816,100,100,0,100,100,0,100,100
0.9387755102,0.1346938776,0.1959183673,0.7224489796,0.0469387755,-0.806122449,-0.483673469,0.387755102,0.0185714286,-0.071428571,0.005,0.293877551,0.4693877551,100,100,0,100,100,0,100,100
0.6632653061,0.2387755102,0.293877551,0.7714285714,0.0367346939,-0.602040816,-0.432653061,0.3265306122,0.0165306122,0.3571428571,0.0043061224,0.2734693878,0.4081632653,100,100,0,100,100,0,100,100
0.7653061224,0.2755102041,0.1632653061,0.8857142857,0.0306122449,-1.010204082,-0.491836735,0.193877551,0.0163265306,-0.295918367,0.0034897959,0.2183673469,0.4040816327,100,100,0,100,100,0,100,100
1,0.2632653061,0.0244897959,1,0.0081632653,-1.418367347,-0.424489796,0.2857142857,0.0171428571,0.2755102041,0.0049591837,0.2653061224,0.4775510204,100,100,0,100,100,0,100,100
0.612244898,0.1408163265,0.2204081633,0.9510204082,0.0244897959,-0.551020408,-0.4,0.2346938776,0.0173469388,-0.255102041,0.0037755102,0.2571428571,0.5673469388,100,100,0,100,100,0,100,100
0.887755102,0.0428571429,0.1714285714,0.4775510204,0.1,-0.857142857,-0.463265306,0.1836734694,0.017755102,0.2959183673,0.0043469388,0.2326530612,0.412244898,100,100,0,100,100,0,100,100
0.9489795918,0.1163265306,0.0489795918,0.3306122449,0.0714285714,-1.979591837,-0.451020408,0.3469387755,0.0130612245,-0.418367347,0.0047142857,0.2959183673,0.5510204082,100,100,0,100,100,0,100,100
