chi_gains_1,chi_gains_2,phi_gains_1,phi_gains_2,phi_gains_3,h_gains_1,h_gains_2,h_gains_3,theta_gains_1,theta_gains_2,theta_gains_3,V_gains_1,V_gains_2,chi_out_1,chi_out_2,chi_out_3,h_out_1,h_out_2,h_out_3,p_out,q_out
135.2419124,161.49877907,10.482153488,4.1355317829,0.3488372093,0.5177875969,0.2713178295,0.0109062016,-6.646837209,-1.485989922,2.519379845,0.7654046512,0.2804214581,1.77978485864347,100,19.2174677278168,1.30676596348234,100,135.769442168083,100,100
0.0165,74.768973643,11.528148837,0.7821209302,2.3255813953,0.3643767442,0.3488372093,0.1006868217,-36.28337209,-6.381817054,4.534883721,0.2185581395,0.8331362589,21.4152114624794,100,39314.3713924815,100,100,0,100,100
80.576320155,296.07951163,26.172083721,2.0564170543,0.7751937984,0.7816542636,-0.674418605,0.4390906977,-39.77002326,-1.040914729,3.372093023,0.6882852713,0.7786432504,0.023757238535009,100,9710.13717073112,100,100,0,100,100
152.50473101,215.33107209,32.448055814,-0.1233,4.1085271318,0.0882372093,0.7519379845,0.6048395349,-2.462855814,-4.792262791,0.697674419,0.2045364341,0.5840253628,5.64412706216087,100,211.317903497253,100,100,0,100,100
47.489251163,197.38697442,36.632037209,3.632520155,2.7906976744,0.6650620155,-0.19379845,0.0178124031,-8.390162791,-4.029276744,0.620155039,0.8214914729,0.4750393457,100,100,0,100,100,0,100,100
71.944910853,50.843510078,20.942106977,0.0779046512,3.6046511628,0.523924031,0.5348837209,0.6117457364,-6.298172093,-4.855844961,0.19379845,0.8004589147,0.0546647085,6.11946740071518,100,296.198432477685,100,100,0,100,100
149.62759457,0.0019,43.605339535,3.3307131783,3.2170542636,0.6405162791,0.0852713178,0.4667155039,-9.43615814,-6.254652713,2.906976744,0.6392093023,0.3582686132,0.004391238089584,100,27324.5921597367,100,100,0,100,100
119.41766202,134.58263256,43.954004651,1.8552124031,1.9379844961,0.1373286822,0.4418604651,0.1352178295,-12.22547907,-7.01763876,1.395348837,0.1905147287,0.1325118636,100,100,0,100,100,0,100,100
126.6105031,314.0236093,42.559344186,3.2301108527,3.5658914729,0.6221069767,0.3953488372,0.0592496124,-11.17948372,-3.838530233,3.953488372,0.2255689922,0.3738380442,0.01305537091348,100,20845.8792425313,100,100,0,100,100
2.8936364341,5.9832658915,20.59344186,2.1570193798,2.9069767442,0.7448356589,-0.364341085,0.8534627907,-31.40206047,-5.87315969,4.418604651,0.7724155039,0.5217476388,100,100,0,100,100,0,100,49.8145464408063
168.3289814,71.778290698,13.620139535,1.721075969,1.3953488372,0.7080170543,-0.348837209,0.756775969,-19.54744651,-7.589878295,3.333333333,0.4078511628,0.7630738194,100,100,0,100,100,0,100,100
146.75045814,209.3497062,12.922809302,0.0443705426,0.1162790698,0.3889224806,0.0387596899,0.1214054264,-38.37536279,-2.630468992,4.263565891,0.7093178295,0.3660533287,4.11940850660707,100,0,100,100,0,49.9371629145777,100
